source	target	prediction
margaret likes lewis <eos>	like ( margaret , lewis ) <eos>	like ( margaret , lewis ) <eos>
henry sees quinn <eos>	see ( henry , quinn ) <eos>	see ( henry , quinn ) <eos>
claire knows herself <eos>	know ( claire , claire ) <eos>	know ( claire , claire ) <eos>
yvette likes katherine <eos>	like ( yvettte , katherine ) <eos>	like ( yvettte , katherine ) <eos>
winnifred meets bob <eos>	meet ( winnifred , bob ) <eos>	meet ( winnifred , bob ) <eos>
margaret dislikes john <eos>	dislike ( margaret , john ) <eos>	dislike ( margaret , john ) <eos>
isla throws isla <eos>	throw ( isla , isla ) <eos>	throw ( isla , isla ) <eos>
lewis dislikes lewis <eos>	dislike ( lewis , lewis ) <eos>	dislike ( lewis , lewis ) <eos>
bob throws grace <eos>	throw ( bob , grace ) <eos>	throw ( bob , grace ) <eos>
claire sees patricia <eos>	see ( claire , patricia ) <eos>	see ( claire , patricia ) <eos>
xerxes notices patricia <eos>	notice ( xerxes , patricia ) <eos>	notice ( xerxes , patricia ) <eos>
victor dislikes yvette <eos>	dislike ( victor , yvettte ) <eos>	dislike ( victor , yvettte ) <eos>
oswald dislikes claire <eos>	dislike ( oswald , claire ) <eos>	dislike ( oswald , claire ) <eos>
neha meets ursula <eos>	meet ( neha , ursula ) <eos>	meet ( neha , ursula ) <eos>
grace knows victor <eos>	know ( grace , victor ) <eos>	know ( grace , victor ) <eos>
neha sees tracy <eos>	see ( neha , tracy ) <eos>	see ( neha , tracy ) <eos>
francis likes himself <eos>	like ( francis , francis ) <eos>	like ( francis , francis ) <eos>
oswald dislikes grace <eos>	dislike ( oswald , grace ) <eos>	dislike ( oswald , grace ) <eos>
neha knows yvette <eos>	know ( neha , yvettte ) <eos>	know ( neha , yvettte ) <eos>
claire notices francis <eos>	notice ( claire , francis ) <eos>	notice ( claire , francis ) <eos>
winnifred likes rachael <eos>	like ( winnifred , rachael ) <eos>	like ( winnifred , rachael ) <eos>
katherine dislikes winnifred <eos>	dislike ( katherine , winnifred ) <eos>	dislike ( katherine , winnifred ) <eos>
john knows isla <eos>	know ( john , isla ) <eos>	know ( john , isla ) <eos>
claire likes neha <eos>	like ( claire , neha ) <eos>	like ( claire , neha ) <eos>
claire notices alice <eos>	notice ( claire , alice ) <eos>	notice ( claire , alice ) <eos>
lewis knows henry <eos>	know ( lewis , henry ) <eos>	know ( lewis , henry ) <eos>
yvette dislikes daniel <eos>	dislike ( yvettte , daniel ) <eos>	dislike ( yvettte , daniel ) <eos>
francis knows alice <eos>	know ( francis , alice ) <eos>	know ( francis , alice ) <eos>
oswald notices francis <eos>	notice ( oswald , francis ) <eos>	notice ( oswald , francis ) <eos>
oswald sees patricia <eos>	see ( oswald , patricia ) <eos>	see ( oswald , patricia ) <eos>
every dog sees victor <eos>	all x . ( dog ( x ) -> see ( x , victor ) ) <eos>	all x . ( dog ( x ) -> see ( x , victor ) ) <eos>
everyone throws henry <eos>	all x . ( person ( x ) -> throw ( x , henry ) ) <eos>	all x . ( person ( x ) -> throw ( x , henry ) ) <eos>
every actor notices lewis <eos>	all x . ( actor ( x ) -> notice ( x , lewis ) ) <eos>	all x . ( dog ( x ) -> notice ( x , lewis ) ) <eos>
every hoplite dislikes grace <eos>	all x . ( hoplite ( x ) -> dislike ( x , grace ) ) <eos>	all x . ( condor ( x ) -> dislike ( x , grace ) ) <eos>
every turtle meets alice <eos>	all x . ( turtle ( x ) -> meet ( x , alice ) ) <eos>	all x . ( condor ( x ) -> meet ( x , alice ) ) <eos>
bob notices ursula <eos>	notice ( bob , ursula ) <eos>	notice ( bob , ursula ) <eos>
zelda meets patricia <eos>	meet ( zelda , patricia ) <eos>	meet ( zelda , patricia ) <eos>
neha sees eliza <eos>	see ( neha , eliza ) <eos>	see ( neha , eliza ) <eos>
oswald likes samuel <eos>	like ( oswald , samuel ) <eos>	like ( oswald , samuel ) <eos>
neha throws grace <eos>	throw ( neha , grace ) <eos>	throw ( neha , grace ) <eos>
someone sees neha <eos>	exists x . ( person ( x ) & see ( x , neha ) ) <eos>	exists x . ( person ( x ) & see ( x , neha ) ) <eos>
every prion throws rachael <eos>	all x . ( prion ( x ) -> throw ( x , rachael ) ) <eos>	all x . ( prion ( x ) -> dislike ( x , rachael ) ) <eos>
every prion throws yvette <eos>	all x . ( prion ( x ) -> throw ( x , yvettte ) ) <eos>	all x . ( bear ( x ) -> dislike ( x , yvettte ) ) <eos>
