source	target	prediction
john meets francis <eos>	meet ( john , francis ) <eos>	meet ( john , francis ) <eos>
margaret throws winnifred <eos>	throw ( margaret , winnifred ) <eos>	throw ( margaret , winnifred ) <eos>
alice knows grace <eos>	know ( alice , grace ) <eos>	know ( alice , grace ) <eos>
quinn knows john <eos>	know ( quinn , john ) <eos>	know ( quinn , john ) <eos>
xerxes sees margaret <eos>	see ( xerxes , margaret ) <eos>	see ( xerxes , margaret ) <eos>
xerxes meets patricia <eos>	meet ( xerxes , patricia ) <eos>	meet ( xerxes , patricia ) <eos>
isla knows francis <eos>	know ( isla , francis ) <eos>	know ( isla , francis ) <eos>
lewis dislikes ursula <eos>	dislike ( lewis , ursula ) <eos>	dislike ( lewis , ursula ) <eos>
claire throws quinn <eos>	throw ( claire , quinn ) <eos>	throw ( claire , quinn ) <eos>
patricia likes samuel <eos>	like ( patricia , samuel ) <eos>	like ( patricia , samuel ) <eos>
zelda dislikes lewis <eos>	dislike ( zelda , lewis ) <eos>	dislike ( zelda , lewis ) <eos>
grace likes claire <eos>	like ( grace , claire ) <eos>	like ( grace , claire ) <eos>
bob meets yvette <eos>	meet ( bob , yvettte ) <eos>	meet ( bob , yvettte ) <eos>
rachael dislikes yvette <eos>	dislike ( rachael , yvettte ) <eos>	dislike ( rachael , yvettte ) <eos>
zelda dislikes ursula <eos>	dislike ( zelda , ursula ) <eos>	dislike ( zelda , ursula ) <eos>
oswald knows ursula <eos>	know ( oswald , ursula ) <eos>	know ( oswald , ursula ) <eos>
samuel knows patricia <eos>	know ( samuel , patricia ) <eos>	know ( samuel , patricia ) <eos>
rachael meets daniel <eos>	meet ( rachael , daniel ) <eos>	meet ( rachael , daniel ) <eos>
xerxes sees zelda <eos>	see ( xerxes , zelda ) <eos>	see ( xerxes , zelda ) <eos>
isla notices grace <eos>	notice ( isla , grace ) <eos>	notice ( isla , grace ) <eos>
neha knows lewis <eos>	know ( neha , lewis ) <eos>	know ( neha , lewis ) <eos>
grace likes winnifred <eos>	like ( grace , winnifred ) <eos>	like ( grace , winnifred ) <eos>
patricia knows claire <eos>	know ( patricia , claire ) <eos>	know ( patricia , claire ) <eos>
john knows grace <eos>	know ( john , grace ) <eos>	know ( john , grace ) <eos>
neha dislikes katherine <eos>	dislike ( neha , katherine ) <eos>	dislike ( neha , katherine ) <eos>
bob throws bob <eos>	throw ( bob , bob ) <eos>	throw ( , , bob ) <eos>
patricia likes xerxes <eos>	like ( patricia , xerxes ) <eos>	like ( patricia , xerxes ) <eos>
neha dislikes margaret <eos>	dislike ( neha , margaret ) <eos>	dislike ( neha , margaret ) <eos>
patricia knows daniel <eos>	know ( patricia , daniel ) <eos>	know ( patricia , daniel ) <eos>
winnifred sees grace <eos>	see ( winnifred , grace ) <eos>	see ( winnifred , grace ) <eos>
every hoplite likes john <eos>	all x . ( hoplite ( x ) -> like ( x , john ) ) <eos>	all x . ( person ( x ) -> like ( x , john ) ) <eos>
every turtle meets oswald <eos>	all x . ( turtle ( x ) -> meet ( x , oswald ) ) <eos>	all x . ( person ( x ) -> meet ( x , oswald ) ) <eos>
every dog knows claire <eos>	all x . ( dog ( x ) -> know ( x , claire ) ) <eos>	all x . ( person ( x ) -> know ( x , claire ) ) <eos>
every actor sees winnifred <eos>	all x . ( actor ( x ) -> see ( x , winnifred ) ) <eos>	all x . ( person ( x ) -> see ( x , winnifred ) ) <eos>
every actor meets henry <eos>	all x . ( actor ( x ) -> meet ( x , henry ) ) <eos>	all x . ( hoplite ( x ) -> meet ( x , henry ) ) <eos>
every person throws herself <eos>	all x . ( person ( x ) -> throw ( x , x ) ) <eos>	all x . ( hoplite ( x ) -> throw ( x , , ) ) <eos>
every actor dislikes rachael <eos>	all x . ( actor ( x ) -> dislike ( x , rachael ) ) <eos>	all x . ( person ( x ) -> dislike ( x , rachael ) ) <eos>
every prion meets yvette <eos>	all x . ( prion ( x ) -> meet ( x , yvettte ) ) <eos>	all x . ( person ( x ) -> meet ( x , yvettte ) ) <eos>
every bear notices samuel <eos>	all x . ( bear ( x ) -> notice ( x , samuel ) ) <eos>	all x . ( person ( x ) -> notice ( x , samuel ) ) <eos>
every condor likes xerxes <eos>	all x . ( condor ( x ) -> like ( x , xerxes ) ) <eos>	all x . ( person ( x ) -> like ( x , xerxes ) ) <eos>
every hoplite dislikes zelda <eos>	all x . ( hoplite ( x ) -> dislike ( x , zelda ) ) <eos>	all x . ( person ( x ) -> dislike ( x , zelda ) ) <eos>
every actor meets henry <eos>	all x . ( actor ( x ) -> meet ( x , henry ) ) <eos>	all x . ( hoplite ( x ) -> meet ( x , henry ) ) <eos>
every bear throws quinn <eos>	all x . ( bear ( x ) -> throw ( x , quinn ) ) <eos>	all x . ( hoplite ( x ) -> throw ( x , quinn ) ) <eos>
someone dislikes samuel <eos>	exists x . ( person ( x ) & dislike ( x , samuel ) ) <eos>	exists x . ( person ( x ) & dislike ( x , samuel ) <eos>
someone meets john <eos>	exists x . ( person ( x ) & meet ( x , john ) ) <eos>	exists x . ( person ( x ) & meet ( x , john ) <eos>
winnifred meets xerxes <eos>	meet ( winnifred , xerxes ) <eos>	meet ( winnifred , xerxes ) <eos>
lewis notices samuel <eos>	notice ( lewis , samuel ) <eos>	notice ( lewis , samuel ) <eos>
