source	target	prediction
grace meets rachael <eos>	meet ( grace , rachael ) <eos>	meet ( grace , rachael ) <eos>
oswald throws margaret <eos>	throw ( oswald , margaret ) <eos>	throw ( oswald , margaret ) <eos>
neha meets daniel <eos>	meet ( neha , daniel ) <eos>	meet ( neha , daniel ) <eos>
francis notices zelda <eos>	notice ( francis , zelda ) <eos>	notice ( francis , zelda ) <eos>
daniel sees grace <eos>	see ( daniel , grace ) <eos>	see ( daniel , grace ) <eos>
katherine meets rachael <eos>	meet ( katherine , rachael ) <eos>	meet ( katherine , rachael ) <eos>
claire knows herself <eos>	know ( claire , claire ) <eos>	know ( claire , claire ) <eos>
oswald sees samuel <eos>	see ( oswald , samuel ) <eos>	see ( oswald , samuel ) <eos>
zelda throws ursula <eos>	throw ( zelda , ursula ) <eos>	throw ( zelda , ursula ) <eos>
rachael knows lewis <eos>	know ( rachael , lewis ) <eos>	know ( rachael , lewis ) <eos>
grace sees quinn <eos>	see ( grace , quinn ) <eos>	see ( grace , quinn ) <eos>
patricia knows claire <eos>	know ( patricia , claire ) <eos>	know ( patricia , claire ) <eos>
alice sees tracy <eos>	see ( alice , tracy ) <eos>	see ( alice , tracy ) <eos>
yvette sees lewis <eos>	see ( yvettte , lewis ) <eos>	see ( yvettte , lewis ) <eos>
rachael meets samuel <eos>	meet ( rachael , samuel ) <eos>	meet ( rachael , samuel ) <eos>
bob meets alice <eos>	meet ( bob , alice ) <eos>	meet ( bob , alice ) <eos>
henry sees samuel <eos>	see ( henry , samuel ) <eos>	see ( henry , samuel ) <eos>
patricia notices isla <eos>	notice ( patricia , isla ) <eos>	notice ( patricia , isla ) <eos>
samuel throws john <eos>	throw ( samuel , john ) <eos>	throw ( samuel , john ) <eos>
lewis sees winnifred <eos>	see ( lewis , winnifred ) <eos>	see ( lewis , winnifred ) <eos>
bob meets claire <eos>	meet ( bob , claire ) <eos>	meet ( bob , claire ) <eos>
alice knows francis <eos>	know ( alice , francis ) <eos>	know ( alice , francis ) <eos>
