source	target	prediction
victor dislikes yvette <eos>	dislike ( victor , yvettte ) <eos>	dislike ( victor , yvettte ) <eos>
zelda knows katherine <eos>	know ( zelda , katherine ) <eos>	know ( zelda , katherine ) <eos>
isla knows claire <eos>	know ( isla , claire ) <eos>	know ( isla , claire ) <eos>
francis meets isla <eos>	meet ( francis , isla ) <eos>	meet ( francis , isla ) <eos>
xerxes knows tracy <eos>	know ( xerxes , tracy ) <eos>	know ( xerxes , tracy ) <eos>
bob sees zelda <eos>	see ( bob , zelda ) <eos>	see ( bob , zelda ) <eos>
isla sees katherine <eos>	see ( isla , katherine ) <eos>	see ( isla , katherine ) <eos>
patricia throws neha <eos>	throw ( patricia , neha ) <eos>	throw ( patricia , neha ) <eos>
xerxes sees tracy <eos>	see ( xerxes , tracy ) <eos>	see ( xerxes , tracy ) <eos>
isla throws ursula <eos>	throw ( isla , ursula ) <eos>	throw ( isla , ursula ) <eos>
quinn knows alice <eos>	know ( quinn , alice ) <eos>	know ( quinn , alice ) <eos>
grace notices zelda <eos>	notice ( grace , zelda ) <eos>	notice ( grace , zelda ) <eos>
rachael notices victor <eos>	notice ( rachael , victor ) <eos>	notice ( rachael , victor ) <eos>
grace meets isla <eos>	meet ( grace , isla ) <eos>	meet ( grace , isla ) <eos>
bob meets alice <eos>	meet ( bob , alice ) <eos>	meet ( bob , alice ) <eos>
katherine throws alice <eos>	throw ( katherine , alice ) <eos>	throw ( katherine , alice ) <eos>
katherine notices xerxes <eos>	notice ( katherine , xerxes ) <eos>	notice ( katherine , xerxes ) <eos>
claire throws quinn <eos>	throw ( claire , quinn ) <eos>	throw ( claire , quinn ) <eos>
patricia likes oswald <eos>	like ( patricia , oswald ) <eos>	like ( patricia , oswald ) <eos>
xerxes likes alice <eos>	like ( xerxes , alice ) <eos>	like ( xerxes , alice ) <eos>
daniel dislikes samuel <eos>	dislike ( daniel , samuel ) <eos>	dislike ( daniel , samuel ) <eos>
rachael knows ursula <eos>	know ( rachael , ursula ) <eos>	know ( rachael , ursula ) <eos>
margaret throws daniel <eos>	throw ( margaret , daniel ) <eos>	throw ( margaret , daniel ) <eos>
quinn sees margaret <eos>	see ( quinn , margaret ) <eos>	see ( quinn , margaret ) <eos>
bob knows claire <eos>	know ( bob , claire ) <eos>	know ( bob , claire ) <eos>
everyone notices claire <eos>	all x . ( person ( x ) -> notice ( x , claire ) ) <eos>	all x . ( person ( x ) -> notice ( x , claire ) ) <eos>
every prion dislikes katherine <eos>	all x . ( prion ( x ) -> dislike ( x , katherine ) ) <eos>	all x . ( prion ( x ) -> dislike ( x , katherine ) ) <eos>
every person notices patricia <eos>	all x . ( person ( x ) -> notice ( x , patricia ) ) <eos>	all x . ( person ( x ) -> notice ( x , patricia ) ) <eos>
every bear knows alice <eos>	all x . ( bear ( x ) -> know ( x , alice ) ) <eos>	all x . ( bear ( x ) -> know ( x , alice ) ) <eos>
every prion dislikes rachael <eos>	all x . ( prion ( x ) -> dislike ( x , rachael ) ) <eos>	all x . ( prion ( x ) -> dislike ( x , rachael ) ) <eos>
oswald knows zelda <eos>	know ( oswald , zelda ) <eos>	know ( oswald , zelda ) <eos>
henry knows alice <eos>	know ( henry , alice ) <eos>	know ( henry , alice ) <eos>
samuel throws quinn <eos>	throw ( samuel , quinn ) <eos>	throw ( samuel , quinn ) <eos>
zelda throws zelda <eos>	throw ( zelda , zelda ) <eos>	throw ( zelda , zelda ) <eos>
ursula likes lewis <eos>	like ( ursula , lewis ) <eos>	like ( ursula , lewis ) <eos>
every turtle throws himself <eos>	all x . ( turtle ( x ) -> throw ( x , x ) ) <eos>	all x . ( turtle ( x ) -> throw ( x , x ) ) <eos>
every prion notices rachael <eos>	all x . ( prion ( x ) -> notice ( x , rachael ) ) <eos>	all x . ( prion ( x ) -> notice ( x , rachael ) ) <eos>
every bear knows bob <eos>	all x . ( bear ( x ) -> know ( x , bob ) ) <eos>	all x . ( bear ( x ) -> know ( x , bob ) ) <eos>
every person meets ursula <eos>	all x . ( person ( x ) -> meet ( x , ursula ) ) <eos>	all x . ( person ( x ) -> meet ( x , ursula ) ) <eos>
every actor throws xerxes <eos>	all x . ( actor ( x ) -> throw ( x , xerxes ) ) <eos>	all x . ( actor ( x ) -> throw ( x , xerxes ) ) <eos>
grace throws xerxes <eos>	throw ( grace , xerxes ) <eos>	throw ( grace , xerxes ) <eos>
daniel dislikes isla <eos>	dislike ( daniel , isla ) <eos>	dislike ( daniel , isla ) <eos>
francis dislikes daniel <eos>	dislike ( francis , daniel ) <eos>	dislike ( francis , daniel ) <eos>
xerxes notices grace <eos>	notice ( xerxes , grace ) <eos>	notice ( xerxes , grace ) <eos>
tracy dislikes henry <eos>	dislike ( tracy , henry ) <eos>	dislike ( tracy , henry ) <eos>
every prion likes yvette <eos>	all x . ( prion ( x ) -> like ( x , yvettte ) ) <eos>	all x . ( prion ( x ) -> like ( x , yvettte ) ) <eos>
every hoplite likes victor <eos>	all x . ( hoplite ( x ) -> like ( x , victor ) ) <eos>	all x . ( hoplite ( x ) -> like ( x , victor ) ) <eos>
every prion notices neha <eos>	all x . ( prion ( x ) -> notice ( x , neha ) ) <eos>	all x . ( prion ( x ) -> notice ( x , neha ) ) <eos>
