source	target	prediction
zelda likes herself <eos>	like ( zelda , zelda ) <eos>	like ( zelda , zelda ) <eos>
tracy meets john <eos>	meet ( tracy , john ) <eos>	meet ( tracy , john ) <eos>
patricia meets eliza <eos>	meet ( patricia , eliza ) <eos>	meet ( patricia , eliza ) <eos>
eliza meets winnifred <eos>	meet ( eliza , winnifred ) <eos>	meet ( eliza , winnifred ) <eos>
zelda sees tracy <eos>	see ( zelda , tracy ) <eos>	see ( zelda , tracy ) <eos>
bob likes rachael <eos>	like ( bob , rachael ) <eos>	like ( bob , rachael ) <eos>
yvette likes rachael <eos>	like ( yvettte , rachael ) <eos>	like ( yvettte , rachael ) <eos>
margaret notices ursula <eos>	notice ( margaret , ursula ) <eos>	notice ( margaret , ursula ) <eos>
claire likes francis <eos>	like ( claire , francis ) <eos>	like ( claire , francis ) <eos>
claire dislikes samuel <eos>	dislike ( claire , samuel ) <eos>	dislike ( claire , samuel ) <eos>
victor throws bob <eos>	throw ( victor , bob ) <eos>	throw ( victor , bob ) <eos>
samuel likes zelda <eos>	like ( samuel , zelda ) <eos>	like ( samuel , zelda ) <eos>
winnifred throws isla <eos>	throw ( winnifred , isla ) <eos>	throw ( winnifred , isla ) <eos>
isla throws alice <eos>	throw ( isla , alice ) <eos>	throw ( isla , alice ) <eos>
margaret sees francis <eos>	see ( margaret , francis ) <eos>	see ( margaret , francis ) <eos>
samuel throws eliza <eos>	throw ( samuel , eliza ) <eos>	throw ( samuel , eliza ) <eos>
isla dislikes lewis <eos>	dislike ( isla , lewis ) <eos>	dislike ( isla , lewis ) <eos>
patricia knows grace <eos>	know ( patricia , grace ) <eos>	know ( patricia , grace ) <eos>
claire meets quinn <eos>	meet ( claire , quinn ) <eos>	meet ( claire , quinn ) <eos>
margaret likes katherine <eos>	like ( margaret , katherine ) <eos>	like ( margaret , katherine ) <eos>
isla throws yvette <eos>	throw ( isla , yvettte ) <eos>	throw ( isla , yvettte ) <eos>
grace likes katherine <eos>	like ( grace , katherine ) <eos>	like ( grace , katherine ) <eos>
francis sees daniel <eos>	see ( francis , daniel ) <eos>	see ( francis , daniel ) <eos>
patricia notices daniel <eos>	notice ( patricia , daniel ) <eos>	notice ( patricia , daniel ) <eos>
john meets oswald <eos>	meet ( john , oswald ) <eos>	meet ( john , oswald ) <eos>
claire notices rachael <eos>	notice ( claire , rachael ) <eos>	notice ( claire , rachael ) <eos>
xerxes knows yvette <eos>	know ( xerxes , yvettte ) <eos>	know ( xerxes , yvettte ) <eos>
winnifred meets bob <eos>	meet ( winnifred , bob ) <eos>	meet ( winnifred , bob ) <eos>
katherine sees xerxes <eos>	see ( katherine , xerxes ) <eos>	see ( katherine , xerxes ) <eos>
john meets quinn <eos>	meet ( john , quinn ) <eos>	meet ( john , quinn ) <eos>
yvette meets oswald <eos>	meet ( yvettte , oswald ) <eos>	meet ( yvettte , oswald ) <eos>
yvette dislikes winnifred <eos>	dislike ( yvettte , winnifred ) <eos>	dislike ( yvettte , winnifred ) <eos>
john meets daniel <eos>	meet ( john , daniel ) <eos>	meet ( john , daniel ) <eos>
oswald dislikes quinn <eos>	dislike ( oswald , quinn ) <eos>	dislike ( oswald , quinn ) <eos>
zelda sees john <eos>	see ( zelda , john ) <eos>	see ( zelda , john ) <eos>
john likes henry <eos>	like ( john , henry ) <eos>	like ( john , henry ) <eos>
zelda dislikes zelda <eos>	dislike ( zelda , zelda ) <eos>	dislike ( zelda , zelda ) <eos>
oswald knows neha <eos>	know ( oswald , neha ) <eos>	know ( oswald , neha ) <eos>
bob dislikes eliza <eos>	dislike ( bob , eliza ) <eos>	dislike ( bob , eliza ) <eos>
john knows himself <eos>	know ( john , john ) <eos>	know ( john , john ) <eos>
katherine dislikes winnifred <eos>	dislike ( katherine , winnifred ) <eos>	dislike ( katherine , winnifred ) <eos>
bob knows oswald <eos>	know ( bob , oswald ) <eos>	know ( bob , oswald ) <eos>
victor sees isla <eos>	see ( victor , isla ) <eos>	see ( victor , isla ) <eos>
oswald likes alice <eos>	like ( oswald , alice ) <eos>	like ( oswald , alice ) <eos>
eliza likes herself <eos>	like ( eliza , eliza ) <eos>	like ( eliza , eliza ) <eos>
ursula knows neha <eos>	know ( ursula , neha ) <eos>	know ( ursula , neha ) <eos>
margaret throws claire <eos>	throw ( margaret , claire ) <eos>	throw ( margaret , claire ) <eos>
victor notices yvette <eos>	notice ( victor , yvettte ) <eos>	notice ( victor , yvettte ) <eos>
xerxes notices tracy <eos>	notice ( xerxes , tracy ) <eos>	notice ( xerxes , tracy ) <eos>
oswald meets john <eos>	meet ( oswald , john ) <eos>	meet ( oswald , john ) <eos>
isla sees neha <eos>	see ( isla , neha ) <eos>	see ( isla , neha ) <eos>
lewis knows henry <eos>	know ( lewis , henry ) <eos>	know ( lewis , henry ) <eos>
neha flies <eos>	fly ( neha ) <eos>	fly ( neha ) <eos>
margaret dances <eos>	dance ( margaret ) <eos>	dance ( margaret ) <eos>
winnifred slumbers <eos>	slumber ( winnifred ) <eos>	slumber ( winnifred ) <eos>
everyone likes lewis <eos>	all x . ( person ( x ) -> like ( x , lewis ) ) <eos>	all x . ( person ( x ) -> throw ( x , lewis ) ) <eos>
every hoplite sees tracy <eos>	all x . ( hoplite ( x ) -> see ( x , tracy ) ) <eos>	all x . ( hoplite ( x ) -> notice ( x , tracy ) ) <eos>
every dog dislikes eliza <eos>	all x . ( dog ( x ) -> dislike ( x , eliza ) ) <eos>	all x . ( prion ( x ) -> notice ( x , eliza ) ) <eos>
