source	target	prediction
francis dislikes himself <eos>	dislike ( francis , francis ) <eos>	dislike ( francis , francis ) <eos>
claire meets herself <eos>	meet ( claire , claire ) <eos>	meet ( claire , claire ) <eos>
daniel knows himself <eos>	know ( daniel , daniel ) <eos>	know ( daniel , daniel ) <eos>
alice notices herself <eos>	notice ( alice , alice ) <eos>	notice ( alice , alice ) <eos>
bob notices himself <eos>	notice ( bob , bob ) <eos>	notice ( katherine , oswald ) <eos>
eliza sees herself <eos>	see ( eliza , eliza ) <eos>	see ( eliza , eliza ) <eos>
eliza throws herself <eos>	throw ( eliza , eliza ) <eos>	throw ( eliza , eliza ) <eos>
eliza notices herself <eos>	notice ( eliza , eliza ) <eos>	notice ( eliza , eliza ) <eos>
bob sees himself <eos>	see ( bob , bob ) <eos>	see ( bob , bob ) <eos>
bob knows himself <eos>	know ( bob , bob ) <eos>	know ( bob , bob ) <eos>
bob meets himself <eos>	meet ( bob , bob ) <eos>	meet ( katherine , bob ) <eos>
eliza knows herself <eos>	know ( eliza , eliza ) <eos>	know ( eliza , eliza ) <eos>
eliza dislikes herself <eos>	dislike ( eliza , eliza ) <eos>	dislike ( eliza , eliza ) <eos>
eliza likes herself <eos>	like ( eliza , eliza ) <eos>	like ( eliza , eliza ) <eos>
francis sees himself <eos>	see ( francis , francis ) <eos>	see ( francis , francis ) <eos>
eliza meets herself <eos>	meet ( eliza , eliza ) <eos>	meet ( eliza , eliza ) <eos>
alice meets herself <eos>	meet ( alice , alice ) <eos>	meet ( alice , alice ) <eos>
daniel throws himself <eos>	throw ( daniel , daniel ) <eos>	throw ( daniel , daniel ) <eos>
alice dislikes herself <eos>	dislike ( alice , alice ) <eos>	dislike ( alice , alice ) <eos>
daniel dislikes himself <eos>	dislike ( daniel , daniel ) <eos>	dislike ( daniel , daniel ) <eos>
alice throws herself <eos>	throw ( alice , alice ) <eos>	throw ( alice , alice ) <eos>
claire throws herself <eos>	throw ( claire , claire ) <eos>	throw ( claire , claire ) <eos>
claire notices herself <eos>	notice ( claire , claire ) <eos>	notice ( claire , claire ) <eos>
bob throws himself <eos>	throw ( bob , bob ) <eos>	throw ( bob , bob ) <eos>
alice knows herself <eos>	know ( alice , alice ) <eos>	know ( alice , isla ) <eos>
alice likes herself <eos>	like ( alice , alice ) <eos>	like ( alice , alice ) <eos>
francis notices himself <eos>	notice ( francis , francis ) <eos>	notice ( francis , francis ) <eos>
bob dislikes himself <eos>	dislike ( bob , bob ) <eos>	dislike ( bob , bob ) <eos>
bob likes himself <eos>	like ( bob , bob ) <eos>	like ( bob , bob ) <eos>
francis meets himself <eos>	meet ( francis , francis ) <eos>	meet ( francis , francis ) <eos>
daniel notices himself <eos>	notice ( daniel , daniel ) <eos>	notice ( daniel , daniel ) <eos>
claire likes herself <eos>	like ( claire , claire ) <eos>	like ( claire , claire ) <eos>
daniel sees himself <eos>	see ( daniel , daniel ) <eos>	see ( daniel , daniel ) <eos>
alice sees herself <eos>	see ( alice , alice ) <eos>	see ( alice , alice ) <eos>
claire knows herself <eos>	know ( claire , claire ) <eos>	know ( claire , claire ) <eos>
francis knows himself <eos>	know ( francis , francis ) <eos>	know ( francis , francis ) <eos>
daniel meets himself <eos>	meet ( daniel , daniel ) <eos>	meet ( daniel , daniel ) <eos>
daniel likes himself <eos>	like ( daniel , daniel ) <eos>	like ( daniel , daniel ) <eos>
claire sees herself <eos>	see ( claire , claire ) <eos>	see ( claire , claire ) <eos>
francis likes himself <eos>	like ( francis , francis ) <eos>	like ( francis , francis ) <eos>
francis throws himself <eos>	throw ( francis , francis ) <eos>	throw ( francis , francis ) <eos>
claire dislikes herself <eos>	dislike ( claire , claire ) <eos>	dislike ( claire , claire ) <eos>
